date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:40	113328/113328	---M-Z	200	added ('OK')	text/html	etag:%225c22-602933fe1b96a%22	https://www.supersim.com.br/emprestimo-pessoal/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/emprestimo-pessoal/index.html	(from https://www.supersim.com.br/)
13:58:40	126750/126750	---M-Z	200	added ('OK')	text/html	etag:%226649-60293385189f2%22	https://www.supersim.com.br/emprestimo-com-garantia/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/emprestimo-com-garantia/index.html	(from https://www.supersim.com.br/)
13:58:41	178020/178020	---M-Z	200	added ('OK')	text/html	etag:%229018-60293908105ce%22	https://www.supersim.com.br/emprestimo-sem-garantia/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/emprestimo-sem-garantia/index.html	(from https://www.supersim.com.br/)
13:58:41	125699/125699	---MCZ	200	added ('OK')	text/html	etag:%227c2e75769ada7d4fa03fa0c7972b11a0%22	https://www.supersim.com.br/emprestimo-pessoal/emprestimo-pessoal-online/emprestimo-online-urgente/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/emprestimo-pessoal/emprestimo-pessoal-online/emprestimo-online-urgente/index.html	(from https://www.supersim.com.br/)
13:58:42	114180/114180	---M-Z	200	added ('OK')	text/html	etag:%22574a-60293610f435a%22	https://www.supersim.com.br/super-seguro/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/super-seguro/index.html	(from https://www.supersim.com.br/)
13:58:42	120933/120933	---MCZ	200	added ('OK')	text/html	etag:%225818fec446e3f841c06a8be1cf28f410%22	https://www.supersim.com.br/multiplik/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/multiplik/index.html	(from https://www.supersim.com.br/)
13:58:42	283/283	---M--	200	added ('OK')	image/png	etag:%2211b-5e82bb5a996d4%22	https://www.supersim.com.br/media/2022/09/icone-pix-branco-home.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/icone-pix-branco-home.png	(from https://www.supersim.com.br/)
13:58:43	2033/2033	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Aug%202023%2013:18:40%20GMT	https://www.supersim.com.br/entrar/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/entrar/index.html	(from https://www.supersim.com.br/)
13:58:43	196052/196052	---MCZ	200	added ('OK')	text/html	etag:%2266fad3c0e97484791587f0c2f11cf9e5%22	https://www.supersim.com.br/como-solicitar-emprestimo/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/como-solicitar-emprestimo/index.html	(from https://www.supersim.com.br/)
13:58:44	58664/58664	---MCZ	200	added ('OK')	text/html	etag:%227e31e556daecd7d615371bed16a375d3%22	https://www.supersim.com.br/blog/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/blog/index.html	(from https://www.supersim.com.br/)
13:58:44	2033/2033	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Aug%202023%2013:18:40%20GMT	https://www.supersim.com.br/emprestimo/solicitacao/inicio/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/emprestimo/solicitacao/inicio/index.html	(from https://www.supersim.com.br/)
13:58:44	275/275	---M--	200	added ('OK')	image/png	etag:%22113-5e82bb5bbe639%22	https://www.supersim.com.br/media/2022/09/aprovometro-icone-2.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/aprovometro-icone-2.png	(from https://www.supersim.com.br/)
13:58:45	441/441	---M--	200	added ('OK')	image/png	etag:%221b9-5e82bb5cf3b55%22	https://www.supersim.com.br/media/2022/09/aprovometro-icone-3.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/aprovometro-icone-3.png	(from https://www.supersim.com.br/)
13:58:46	496/496	---M--	200	added ('OK')	image/png	etag:%221f0-5e82bb5e3e447%22	https://www.supersim.com.br/media/2022/09/aprovometro-icone-4.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/aprovometro-icone-4.png	(from https://www.supersim.com.br/)
13:58:46	23723/23723	---M--	200	added ('OK')	image/png	etag:%225cab-5e949d1030ebd%22	https://www.supersim.com.br/media/2022/09/emprestimo-pessoal-online-1-1.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/emprestimo-pessoal-online-1-1.png	(from https://www.supersim.com.br/)
13:58:46	81158/81158	---M--	200	added ('OK')	image/png	etag:%2213d06-5e949d1353a32%22	https://www.supersim.com.br/media/2022/09/emprestimo-pessoal-online-2.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/emprestimo-pessoal-online-2.png	(from https://www.supersim.com.br/)
